NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,CIDADE,NUM_BO,ANO_BO,DATA_COMUNICACAO_BO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESCR_PERIODO,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRIÇÃO,NOME_DEPARTAMENTO_CIRCUNSCRIÇÃO,NOME_SECCIONAL_CIRCUNSCRIÇÃO,NOME_MUNICIPIO_CIRCUNSCRIÇÃO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA,COD IBGE
DECAP,DEL.SEC.8º SAO MATEUS,08ª DDM SAO MATEUS,S.PAULO,AC0851,2022,2022-01-13 00:00:00,2021-09-01 00:00:00,NULL,EM HORA INCERTA,Residência,SE,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Art. 213 - Estupro,NULL,ESTUPRO,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.8º SAO MATEUS,54º D.P. CID. TIRADENTES,S.PAULO,4,2022,2022-01-03 00:00:00,2021-12-31 00:00:00,15:20:00,,Via pública,Centro Histórico de São Paulo,25 de Março,325,-23.5436238,-46.6325199,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),INTERIOR DE VEICULO,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.5º LESTE,29º D.P. VILA PRUDENTE,S.PAULO,7,2022,2022-01-04 00:00:00,2021-12-30 00:00:00,NULL,EM HORA INCERTA,Terminal/Estação,SE,PARQUE DOM PEDRO II,10,-23.54502538,-46.6310911269999,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),TRANSEUNTE,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,S.PAULO,8,2022,2022-01-03 00:00:00,2022-01-03 00:00:00,16:00:00,,Via pública,Liberdade,Viaduto Therezinha Zerbini,1,-23.5535658,-46.6258725,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),INTERIOR DE VEICULO,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI,S.PAULO,8,2022,2022-01-03 00:00:00,2022-01-03 00:00:00,13:30:00,,Via pública,LIBERDADE,RUA DO GLICERIO,NULL,-23.558050384,-46.63022391,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),INTERIOR DE VEICULO,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.2º SUL,17º D.P. DOUTOR ALDO GALIANO,S.PAULO,11,2022,2022-01-04 00:00:00,2022-01-04 00:00:00,11:40:00,,Via pública,SE,RUA VASCO PEREIRA,55,-23.5549560979999,-46.628634344,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),INTERIOR DE VEICULO,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.7º ITAQUERA,68º D.P. LAGEADO,S.PAULO,11,2022,2022-01-03 00:00:00,2021-12-31 00:00:00,11:45:00,,Comércio e serviços,Centro Histórico de São Paulo,25 de Março,1081,-23.5436238,-46.6325199,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),OUTROS,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,08º D.P. BRAS,S.PAULO,12,2022,2022-01-02 00:00:00,2022-01-02 00:00:00,01:10:00,,Via pública,SE,RUA DA FIGUEIRA,526,-23.549289561,-46.625614915,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),OUTROS,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DOPE-DEPTO OP POL ESTRAT.,DIV.POL.PORTO/AERO/PROT.TURISTA,DOPE - 01ª DP DEATUR CAPITAL,S.PAULO,12,2022,2022-01-09 00:00:00,2022-01-08 00:00:00,17:00:00,,Comércio e serviços,SE,RUA DA CANTAREIRA,306,-23.5419052519999,-46.630120588,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),INTERIOR ESTABELECIMENTO,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,12º D.P. PARI,S.PAULO,13,2022,2022-01-03 00:00:00,2021-12-25 00:00:00,NULL,EM HORA INCERTA,Restaurante e afins,SE,AVENIDA RANGEL PESTANA,2327,-23.5495972429999,-46.6299746289999,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),OUTROS,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DEINTER 7 - SOROCABA,DEL.SEC.ITAPETININGA,DEL.POL.SÃO MIGUEL ARCANJO,S.PAULO,14,2022,2022-01-04 00:00:00,2021-12-28 00:00:00,21:23:00,,Via pública,Sé,Praça da Sé,1,-23.5503099,-46.6342009,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),OUTROS,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DOPE-DEPTO OP POL ESTRAT.,DIV.POL.PORTO/AERO/PROT.TURISTA,DOPE - 01ª DP DEATUR CAPITAL,S.PAULO,14,2022,2022-01-10 00:00:00,2022-01-10 00:00:00,NULL,PELA MANHÃ,Terminal/Estação,Centro Histórico de São Paulo,Parque Dom Pedro II,0,-23.5476409,-46.6303335,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),OUTROS,FURTO - OUTROS,1,2022,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
