NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRIÇÃO,NOME_DEPARTAMENTO_CIRCUNSCRIÇÃO,NOME_SECCIONAL_CIRCUNSCRIÇÃO,NOME_MUNICIPIO_CIRCUNSCRIÇÃO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA,COD IBGE
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AB8192,2024,2024-01-02 00:00:00,2023-12-28 00:00:00,23:55:00,NULL,Casa,SÉ,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA0650,2024,2024-01-01 00:00:00,2024-01-01 00:00:00,NULL,De madrugada,Via Pública,JARDIM PAULISTA,AVENIDA BRIGADEIRO LUÍS ANTÔNIO,73,NULL,NULL,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.4º NORTE,13º D.P. CASA VERDE,S.PAULO,AA1075,2024,2024-01-01 00:00:00,2023-12-31 00:00:00,23:00:00,NULL,Transeunte,SE,PRAÇA DA SE,1,-23.551201401,-46.634046855,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 1,S.PAULO,AA1444,2024,2024-01-01 00:00:00,2023-12-31 00:00:00,23:00:00,NULL,Via Pública,MOOCA,RODOVIA CHICO XAVIER,4021,-23.5523876,-46.6257429,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior de Veículo,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA4651,2024,2024-01-01 00:00:00,2023-12-31 00:00:00,NULL,A tarde,Metroviário e Ferroviário Metropolitano,SÉ,PRAÇA DA SÉ,0,NULL,NULL,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,05º D.P. ACLIMACAO,S.PAULO,AA5184,2024,2024-01-02 00:00:00,2023-12-23 00:00:00,20:30:00,NULL,Via Pública,SE,AVENIDA PREFEITO PASSOS,66,-23.552335402,-46.6275224,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,S.PAULO,AA5481,2024,2024-01-02 00:00:00,2023-12-31 00:00:00,NULL,A tarde,Apartamento,CENTRO HISTÓRICO DE SÃO PAULO,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA8436,2024,2024-01-01 00:00:00,2024-01-01 00:00:00,NULL,De madrugada,Via Pública,CENTRO HISTÓRICO DE SÃO PAULO,PARQUE DOM PEDRO II,724,-23.5479461,-46.6299711,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,06º D.P. CAMBUCI,S.PAULO,AA8663,2024,2024-01-02 00:00:00,2023-12-30 00:00:00,13:40:26,NULL,Interior de Transporte Coletivo,SE,PRAÇA DA SE,1,-23.551201401,-46.634046855,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Interior Transporte Coletivo,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AB1083,2024,2024-01-02 00:00:00,2023-12-30 00:00:00,NULL,Pela manhã,Via Pública,SE,RUA VINTE E CINCO DE MARCO,725,-23.5434331260256,-46.6325041150512,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Fios e Cabos,FURTO - OUTROS,1,2024,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
