NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,NUM_BO,ANO_BO,DATA_REGISTRO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESC_PERIODO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,BAIRRO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,NOME_DELEGACIA_CIRCUNSCRICAO,NOME_DEPARTAMENTO_CIRCUNSCRICAO,NOME_SECCIONAL_CIRCUNSCRICAO,NOME_MUNICIPIO_CIRCUNSCRICAO,RUBRICA,DESCR_CONDUTA,NATUREZA_APURADA,MES_ESTATISTICA,ANO_ESTATISTICA,CMD,BTL,CIA,COD IBGE
DECAP,DEL.SEC.1º CENTRO,01ª DDM CENTRO,S.PAULO,AX8110,2026,2026-01-19 00:00:00,2026-01-17 00:00:00,NULL,De madrugada,Via Pública,Praça,SE,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0,0,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Estupro de vulneravel (art.217-A),NULL,ESTUPRO DE VULNERÁVEL,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DECAP,DEL.SEC.1º CENTRO,01º D.P. SE,S.PAULO,TB7197,2025,2026-01-05 00:00:00,2025-12-28 00:00:00,15:00:00,A tarde,Shopping Center,Lojas,Liberdade,Rua Barão de Iguape,167,-23.5582629,-46.63388130000001,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Transeunte,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA1535,2026,2026-01-01 00:00:00,2025-12-30 00:00:00,NULL,A tarde,Via Pública,Via Pública,SE,RUA SAO PAULO,15,-23.55702714355763,-46.63283680519225,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA1574,2026,2026-01-01 00:00:00,2025-12-30 00:00:00,NULL,A tarde,Via Pública,Via Pública,SE,RUA VINTE E CINCO DE MARCO,1,-23.54947784199993,-46.63008281899994,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 1,S.PAULO,AA2364,2026,2026-01-01 00:00:00,2025-12-31 00:00:00,22:00:00,A noite,Terminal/Estação,Metroviário e Ferroviário Metropolitano,Sé,Viaduto Vinte e Cinco de Março,0,-,-,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 1,S.PAULO,AA3994,2026,2026-01-01 00:00:00,2025-12-30 00:00:00,18:50:00,A noite,Via Pública,Via Pública,Brás,Avenida Mercúrio,4400,-23.5417184,-46.6278511,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA5058,2026,2026-01-01 00:00:00,2025-12-31 00:00:00,NULL,Pela manhã,Via Pública,Via Pública,LIBERDADE,RUA GALVAO BUENO,50,-23.55763926859995,-46.63509668459997,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA5994,2026,2026-01-01 00:00:00,2025-12-30 00:00:00,NULL,A tarde,Via Pública,Via Pública,SE,AVENIDA RANGEL PESTANA,88,-23.55013861559681,-46.6315930693634,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA6903,2026,2026-01-02 00:00:00,2025-12-31 00:00:00,NULL,A tarde,Via Pública,Via Pública,SE,RUA SAO PAULO,10,-23.55703004082686,-46.63287567342302,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,S.PAULO,AA7467,2026,2026-01-02 00:00:00,2025-12-31 00:00:00,NULL,A noite,Outros,Outros,Vila Santana,Rua Glicério,818,-,-,01º D.P. SE,DECAP,DEL.SEC.1º CENTRO,S.PAULO,Furto (art. 155),Outros,FURTO - OUTROS,1,2026,CPA/M-1,7ºBPM/M,3ªCIA_4ªCIA,3550308
